I, [2018-07-06T10:06:58.298622 #7599]  INFO -- : Refreshing Gem list
warning: parser/current is loading parser/ruby23, which recognizes
warning: 2.3.6-compliant syntax, but you are running 2.3.2.
warning: please see https://github.com/whitequark/parser#compatibility-with-ruby-mri.
The PGconn, PGresult, and PGError constants are deprecated, and will be
removed as of version 1.0.

You should use PG::Connection, PG::Result, and PG::Error instead, respectively.

Called from /home/deploy/.rvm/gems/ruby-2.3.2/gems/activesupport-4.2.10/lib/active_support/dependencies.rb:240:in `load_dependency'
I, [2018-07-06T10:07:04.728040 #7599]  INFO -- : listening on addr=/home/deploy/consul//shared/sockets/unicorn.sock fd=18
I, [2018-07-06T10:07:04.728157 #7599]  INFO -- : worker=0 spawning...
I, [2018-07-06T10:07:04.729626 #7599]  INFO -- : worker=1 spawning...
I, [2018-07-06T10:07:04.730925 #7599]  INFO -- : master process ready
I, [2018-07-06T10:07:04.736022 #7604]  INFO -- : worker=0 spawned pid=7604
I, [2018-07-06T10:07:04.738414 #7604]  INFO -- : worker=0 ready
I, [2018-07-06T10:07:04.739845 #7606]  INFO -- : worker=1 spawned pid=7606
I, [2018-07-06T10:07:04.740471 #7606]  INFO -- : worker=1 ready
62.82.24.186 - - [06/Jul/2018:10:08:32 +0200] "GET /foundation.interchange.self-07189eb841f19152efe7b88e50292d9c099a53a4915af9020cf5eea06a8016ec.js?body=1 HTTP/1.0" 200 6786 0.1370
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.orbit.self-8b50fe52746c0bbfdfdd344a7dbd1a26aa712d39b0aa95725ef3f207f999115d.js?body=1 HTTP/1.0" 200 15880 0.0477
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.responsiveMenu.self-04daa3af5d3c617fa7d588b45b56abd62539f5fde28756c7b4705de2aa10c4fd.js?body=1 HTTP/1.0" 200 5507 0.0564
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.responsiveToggle.self-15d27e3276f2100adb158282147ff40f7fc86c37419100d6101c600d2e4df01d.js?body=1 HTTP/1.0" 200 4278 0.0439
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.reveal.self-249f251973a73a8fb50acefd10e382278024146355b39e47ce1934dd64df09d7.js?body=1 HTTP/1.0" 200 19441 0.0561
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.slider.self-e5558a2d21fad44bba147be2d729ed96f984229d05f6d5550eb1c0c20b974f90.js?body=1 HTTP/1.0" 200 23454 0.0481
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.sticky.self-0b1d0a23ec6c183dfc64272e91d5450ee95821d7573f1fe7397dc810f3cd6926.js?body=1 HTTP/1.0" 200 16666 0.0492
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.tabs.self-2e641c12d280fc8c560d070d5caf1e97560e035f955335b1244fa0ee0bb7291c.js?body=1 HTTP/1.0" 200 10254 0.0472
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.toggler.self-e503f9a635124ad4578a03dc24e47ac4cdb922a60bac8c9c99d024da00b0bd52.js?body=1 HTTP/1.0" 200 5162 0.0494
62.82.24.186 - - [06/Jul/2018:10:08:33 +0200] "GET /foundation.tooltip.self-8d4d19184b9c2c60eec1cb32096180b09fd0d1bae8bd5bf8674c34187914943d.js?body=1 HTTP/1.0" 200 15711 0.0445
